"nama_sekolah","npsn","bp","status","pd","guru","kecamatan","wilayah","periode_data"
"SD NEGERI KALIDERES 13 PT","20105274","SD","Negeri","304","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KALIDERES 14 PT","20105275","SD","Negeri","301","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 01 PG","20105276","SD","Negeri","341","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 02 PG","20105277","SD","Negeri","390","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 03","20105278","SD","Negeri","583","23","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 06 PG","20105281","SD","Negeri","397","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 08 PT","20105283","SD","Negeri","345","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 09","20105284","SD","Negeri","416","18","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 10 PT","20105285","SD","Negeri","251","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 01 PG","20105445","SD","Negeri","288","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 03 PG","20105447","SD","Negeri","375","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 05 PG","20105449","SD","Negeri","338","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 07 PG","20109142","SD","Negeri","251","10","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 10 PT","20105454","SD","Negeri","244","9","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 12 PG","20105457","SD","Negeri","354","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 13 PAGI","20105458","SD","Negeri","370","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 14 PG","20108945","SD","Negeri","344","12","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 01 PG","20105481","SD","Negeri","313","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 02 PT","20105482","SD","Negeri","311","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 03 PG","20105483","SD","Negeri","327","14","Kali Deres","Jakarta Barat","201912"
